country,nb_participants,pct_participants,psi_p
USA,136834,54.84,12.91
IRL,1423,0.57,9.00
CHE,2152,0.86,7.77
FIN,1336,0.54,7.53
CAN,6367,2.55,5.27
NZL,768,0.31,4.98
BTN,92,0.04,3.72
GBR,7829,3.14,3.60
AUS,2544,1.02,3.12
DNK,577,0.23,3.11
SWE,953,0.38,2.95
LCA,17,0.01,2.89
NLD,1394,0.56,2.54
MEX,8944,3.58,2.17
KOR,3429,1.37,2.09
SVN,138,0.06,2.07
LUX,39,0.02,1.95
BRA,12017,4.82,1.77
DEU,4697,1.88,1.75
ARE,502,0.20,1.59
THA,3472,1.39,1.55
VNM,4496,1.80,1.44
FRA,3012,1.21,1.44
ESP,1917,0.77,1.28
CYP,41,0.02,1.06
TUR,2498,1.00,0.93
ROU,515,0.21,0.84
LSO,54,0.02,0.79
ITA,1409,0.56,0.73
SGP,124,0.05,0.66
JPN,2492,1.00,0.62
AUT,160,0.06,0.55
BGR,119,0.05,0.54
PHL,1644,0.66,0.47
IND,20132,8.07,0.46
PRT,139,0.06,0.43
ISR,103,0.04,0.37
TWN,257,0.10,0.34
IDN,2832,1.14,0.32
JAM,21,0.01,0.22
BGD,1134,0.45,0.22
BEL,74,0.03,0.20
CHN,8397,3.37,0.18
KEN,290,0.12,0.17
NOR,27,0.01,0.16
MYS,142,0.06,0.14
RUS,513,0.21,0.11
CIV,91,0.04,0.11
PAK,746,0.30,0.11
NAM,8,0.00,0.10
ARG,114,0.05,0.08
BIH,7,0.00,0.07
VEN,56,0.02,0.06
GRC,20,0.01,0.06
CMR,41,0.02,0.05
ECU,24,0.01,0.04
COL,66,0.03,0.04
SRB,11,0.00,0.04
ZAF,64,0.03,0.03
HRV,4,0.00,0.03
SAU,32,0.01,0.03
UKR,32,0.01,0.02
EGY,65,0.03,0.02
LVA,1,0.00,0.02
HND,5,0.00,0.02
GEO,2,0.00,0.02
PAN,2,0.00,0.01
CHL,6,0.00,0.01
SLV,2,0.00,0.01
MNG,1,0.00,0.01
URY,1,0.00,0.01
SYR,5,0.00,0.01
POL,10,0.00,0.01
MDA,1,0.00,0.01
KWT,1,0.00,0.01
PER,5,0.00,0.00
LBN,1,0.00,0.00
KHM,2,0.00,0.00
HUN,1,0.00,0.00
CZE,1,0.00,0.00
CUB,1,0.00,0.00
BOL,1,0.00,0.00
TUN,1,0.00,0.00
IRQ,2,0.00,0.00
IRN,4,0.00,0.00
LKA,1,0.00,0.00
NPL,1,0.00,0.00
GHA,1,0.00,0.00
MAR,1,0.00,0.00
AFG,1,0.00,0.00
COD,2,0.00,0.00
ETH,1,0.00,0.00
NGA,1,0.00,0.00